2011-03-10 20:02:44 Debug: Notice (8): Undefined variable: cities in [D:\webroot\mihinlanka\app\views\layouts\home.ctp, line 32]
2011-03-11 16:30:36 Debug: Notice (8): Undefined property: PromotionsController::$Promotions in [D:\webroot\mihinlanka\app\controllers\promotions_controller.php, line 13]
2011-03-11 16:31:35 Debug: Notice (8): Undefined property: PromotionsController::$Promotions in [D:\webroot\mihinlanka\app\controllers\promotions_controller.php, line 13]
2011-03-12 09:38:28 Debug: Notice (8): Undefined property: PromotionsController::$Destination in [D:\webroot\mihinlanka\app\controllers\promotions_controller.php, line 32]
2011-03-12 09:47:00 Debug: Notice (8): Undefined index: from in [D:\webroot\mihinlanka\app\controllers\promotions_controller.php, line 46]
2011-03-12 09:54:47 Debug: Notice (8): Undefined index: fair in [D:\webroot\mihinlanka\app\controllers\promotions_controller.php, line 49]
2011-03-12 09:54:47 Debug: Notice (8): Undefined index: Conditions in [D:\webroot\mihinlanka\app\controllers\promotions_controller.php, line 50]
2011-03-12 09:54:56 Debug: Notice (8): Undefined index: fair in [D:\webroot\mihinlanka\app\controllers\promotions_controller.php, line 49]
2011-03-12 09:55:15 Debug: Notice (8): Undefined index: fair in [D:\webroot\mihinlanka\app\controllers\promotions_controller.php, line 49]
2011-03-12 09:55:27 Debug: Notice (8): Undefined index: fair in [D:\webroot\mihinlanka\app\controllers\promotions_controller.php, line 49]
2011-03-12 09:55:38 Debug: Notice (8): Undefined index: fair in [D:\webroot\mihinlanka\app\controllers\promotions_controller.php, line 49]
2011-03-12 09:55:38 Debug: Notice (8): Undefined index: fair in [D:\webroot\mihinlanka\app\controllers\promotions_controller.php, line 49]
2011-03-12 09:58:28 Debug: Notice (8): Undefined offset: 5 in [D:\webroot\mihinlanka\app\controllers\promotions_controller.php, line 46]
2011-03-12 09:58:48 Debug: Notice (8): Undefined offset: 2 in [D:\webroot\mihinlanka\app\controllers\promotions_controller.php, line 46]
2011-03-12 09:58:48 Debug: Notice (8): Undefined offset: 5 in [D:\webroot\mihinlanka\app\controllers\promotions_controller.php, line 46]
2011-03-12 09:58:48 Debug: Notice (8): Undefined offset: 6 in [D:\webroot\mihinlanka\app\controllers\promotions_controller.php, line 46]
2011-03-12 09:58:51 Debug: Notice (8): Undefined offset: 2 in [D:\webroot\mihinlanka\app\controllers\promotions_controller.php, line 46]
2011-03-12 09:58:51 Debug: Notice (8): Undefined offset: 5 in [D:\webroot\mihinlanka\app\controllers\promotions_controller.php, line 46]
2011-03-12 09:58:51 Debug: Notice (8): Undefined offset: 6 in [D:\webroot\mihinlanka\app\controllers\promotions_controller.php, line 46]
2011-03-12 09:59:58 Debug: Notice (8): Undefined offset: 2 in [D:\webroot\mihinlanka\app\controllers\promotions_controller.php, line 46]
2011-03-12 09:59:58 Debug: Notice (8): Undefined offset: 5 in [D:\webroot\mihinlanka\app\controllers\promotions_controller.php, line 46]
2011-03-12 09:59:58 Debug: Notice (8): Undefined offset: 6 in [D:\webroot\mihinlanka\app\controllers\promotions_controller.php, line 46]
2011-03-12 09:59:58 Debug: Notice (8): Undefined variable: promations in [D:\webroot\mihinlanka\app\controllers\promotions_controller.php, line 64]
2011-03-12 10:00:07 Debug: Notice (8): Undefined offset: 2 in [D:\webroot\mihinlanka\app\controllers\promotions_controller.php, line 46]
2011-03-12 10:00:07 Debug: Notice (8): Undefined offset: 5 in [D:\webroot\mihinlanka\app\controllers\promotions_controller.php, line 46]
2011-03-12 10:00:07 Debug: Notice (8): Undefined offset: 6 in [D:\webroot\mihinlanka\app\controllers\promotions_controller.php, line 46]
2011-03-12 10:00:35 Debug: Notice (8): Undefined offset: 2 in [D:\webroot\mihinlanka\app\controllers\promotions_controller.php, line 46]
2011-03-12 10:00:35 Debug: Notice (8): Undefined offset: 5 in [D:\webroot\mihinlanka\app\controllers\promotions_controller.php, line 46]
2011-03-12 10:00:35 Debug: Notice (8): Undefined offset: 6 in [D:\webroot\mihinlanka\app\controllers\promotions_controller.php, line 46]
2011-03-12 10:02:13 Debug: Notice (8): Undefined offset: 2 in [D:\webroot\mihinlanka\app\controllers\promotions_controller.php, line 46]
2011-03-12 10:02:13 Debug: Notice (8): Undefined offset: 5 in [D:\webroot\mihinlanka\app\controllers\promotions_controller.php, line 46]
2011-03-12 10:02:13 Debug: Notice (8): Undefined offset: 6 in [D:\webroot\mihinlanka\app\controllers\promotions_controller.php, line 46]
2011-03-12 10:02:30 Debug: Notice (8): Undefined offset: 2 in [D:\webroot\mihinlanka\app\controllers\promotions_controller.php, line 46]
2011-03-12 10:02:30 Debug: Notice (8): Undefined offset: 5 in [D:\webroot\mihinlanka\app\controllers\promotions_controller.php, line 46]
2011-03-12 10:02:30 Debug: Notice (8): Undefined offset: 6 in [D:\webroot\mihinlanka\app\controllers\promotions_controller.php, line 46]
2011-03-12 10:02:55 Debug: Notice (8): Undefined offset: 2 in [D:\webroot\mihinlanka\app\controllers\promotions_controller.php, line 46]
